plume_id,sector_type,latitude,longitude,max_plume_conc_ppm_m,historical_temp_c,historical_wind_kmh
CH4_PlumeComplex-485,Waste_Landfill,31.123219445230124,35.206884413312395,3038,34.6,7.1
CH4_PlumeComplex-486,Waste_Landfill,31.905577334522516,36.22917356108617,1368,33.0,17.8
CH4_PlumeComplex-487,Oil_Gas_Energy,35.299173779445134,40.463943895716525,3560,37.2,16.7
CH4_PlumeComplex-496,Waste_Landfill,35.27908726605934,40.5081674593281,1409,37.0,19.3
CH4_PlumeComplex-485,Waste_Landfill,31.1278896525,35.2028145938,3038,33.8,7.3
CH4_PlumeComplex-486,Waste_Landfill,31.9081622491,36.2276340571,1368,33.0,17.8
CH4_PlumeComplex-487,Oil_Gas_Energy,35.2992844308,40.4565054826,3560,37.2,16.7
CH4_PlumeComplex-496,Waste_Landfill,35.2770528975,40.5128976647,1409,37.0,19.3
CH4_PlumeComplex-490,Waste_Landfill,22.340696017098548,56.404984127543166,1299,44.8,6.1
CH4_PlumeComplex-490,Waste_Landfill,22.3312514764,56.4062750659,1299,44.8,6.1
CH4_PlumeComplex-491,Waste_Landfill,34.89278558041047,41.149054743736386,1388,38.5,21.0
CH4_PlumeComplex-491,Waste_Landfill,34.8936945057,41.1380917605,1388,38.5,21.0
CH4_PlumeComplex-492,Oil_Gas_Energy,39.49979333889778,53.511505079378395,4843,40.6,24.7
CH4_PlumeComplex-493,Oil_Gas_Energy,39.38306768495303,53.61609597050149,4855,41.1,27.2
CH4_PlumeComplex-494,Waste_Landfill,39.34955912972498,53.868771882177306,1750,41.0,27.0
CH4_PlumeComplex-492,Oil_Gas_Energy,39.4625457214,53.7742784126,4843,40.8,25.9
CH4_PlumeComplex-493,Oil_Gas_Energy,39.3606060076,53.7650604598,4855,41.1,27.2
CH4_PlumeComplex-494,Waste_Landfill,39.3540992173,53.8729647313,1750,41.0,27.0
CH4_PlumeComplex-495,Waste_Landfill,49.89863480222122,72.2185345803094,2407,21.8,16.4
CH4_PlumeComplex-742,Waste_Landfill,50.23162335963595,72.90557651692674,2734,21.0,15.1
CH4_PlumeComplex-495,Waste_Landfill,49.9091974566,72.2156064265,2407,21.8,16.4
CH4_PlumeComplex-742,Waste_Landfill,50.2231500858,72.9053261923,2734,21.0,15.1
CH4_PlumeComplex-497,Oil_Gas_Energy,28.785399014185977,20.868291773067835,4257,36.5,18.0
CH4_PlumeComplex-497,Oil_Gas_Energy,28.8228592089,20.8515464802,4257,36.5,18.0
CH4_PlumeComplex-741,Waste_Landfill,45.99649102525404,72.70550160406566,1939,25.0,22.4
CH4_PlumeComplex-741,Waste_Landfill,46.0002432181,72.6992778346,1939,25.0,22.4
CH4_PlumeComplex-500,Waste_Landfill,39.66429747384454,60.19499286124735,1699,36.5,30.6
CH4_PlumeComplex-502,Waste_Landfill,40.24279340992102,58.43581117756599,1226,37.2,27.2
CH4_PlumeComplex-743,Oil_Gas_Energy,50.231121406164824,72.9049082904135,3843,17.6,21.2
CH4_PlumeComplex-744,Oil_Gas_Energy,50.22986600924736,72.66936341092766,4263,17.5,21.0
CH4_PlumeComplex-743,Oil_Gas_Energy,50.2307413411,72.9058684248,3843,17.6,21.2
CH4_PlumeComplex-744,Oil_Gas_Energy,50.2236923184,72.670539511,4263,17.5,21.0
CH4_PlumeComplex-508,Oil_Gas_Energy,44.03563761890938,87.87513304259126,4657,28.1,12.1
CH4_PlumeComplex-508,Oil_Gas_Energy,44.0379037273,87.8698592863,4657,28.1,12.1
CH4_PlumeComplex-505,Oil_Gas_Energy,31.92948163653175,36.195769024478835,4325,36.5,14.1
CH4_PlumeComplex-505,Oil_Gas_Energy,31.9287670849,36.1961845709,4325,36.5,14.1
CH4_PlumeComplex-514,Oil_Gas_Energy,39.09529507907017,109.47824587364894,4655,21.4,19.0
CH4_PlumeComplex-514,Oil_Gas_Energy,39.0900319799,109.4789096836,4655,21.4,19.0
CH4_PlumeComplex-2713,Oil_Gas_Energy,31.231432015258935,48.96477375942796,3883,45.9,6.9
CH4_PlumeComplex-2713,Oil_Gas_Energy,31.2292871338,48.9652181905,3883,45.9,6.9
